branch,modelo,pergunta,resposta_esperada,resposta_gerada,tempo_retrieval_s,tempo_llm_s,tokens_entrada,tokens_saida,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
qwen3,qwen3:0.6b,Qual é o custo da inscrição para concorrer a uma vaga em curso de graduação?,"Se o candidato optar por concorrer via Exame de Seleção (prova), a taxa é de R$ 80,00. Caso a opção seja via nota do ENEM, a taxa é de R$ 20,00.","O custo da inscrição para concorrer a uma vaga em curso de graduação é R$100,00.",0.032,5.102,1547,310,1.0,1.0,0.0,0.0,0.2108339670062333
qwen3,qwen3:0.6b,Como deve ser efetuado o pagamento da taxa de inscrição?,"O pagamento deve ser realizado por meio de boleto bancário gerado ao final da inscrição, pagável na rede bancária ou via internet banking.","A taxa de inscrição deve ser realizada no período规定: **desde 05 de setembro de 2025 às 14h até 22 de setembro de 2025**. Isso é o limite规定 para realizar o pagamento após o prazo de inscrição. Se for necessário, o candidato deve informar o banco sobre o horário limite imposto no último dia.",0.032,5.842,1570,388,0.3333333333333333,0.0,0.9999999999,1.0,0.21493387985992324
qwen3,qwen3:0.6b,Até quando posso pagar a taxa de inscrição?,O boleto deve ser pago impreterivelmente até o prazo limite definido no cronograma oficial do edital correspondente.,"Responda:   A taxa de inscrição pode ser realizada até o dia 13 de outubro de 2025, mas o pagamento pode ser realizado no último dia da data estabelecida (14 de outubro de 2025) conforme indicado no contexto.",0.031,5.943,1609,424,0.5,0.9122250915015649,0.9999999999,1.0,0.21602864465339713
qwen3,qwen3:0.6b,Posso modificar os dados da minha inscrição (como a opção de curso ou campus) após concluí-la?,"Sim, no entanto, após a finalização da inscrição, qualquer alteração exige que o candidato realize uma nova inscrição dentro do prazo regulamentar para que os novos dados sejam computados.",Não encontrei essa informação nos documentos.,0.033,4.073,1536,209,0.0,0.0,0.9999999999,1.0,0.2042637652842807
qwen3,qwen3:0.6b,É possível me inscrever em mais de um curso no mesmo edital do IFRS?,Não. É permitido realizar apenas uma única inscrição por candidato em cada edital.,Não encontrei essa informação nos documentos.,0.033,5.611,1600,357,0.0,0.0,0.9999999999,1.0,0.19889481705557124
qwen3,qwen3:0.6b,Há devolução do valor pago na taxa de inscrição se eu desistir de participar?,"Não. O valor pago na taxa de inscrição não é reembolsável sob nenhuma circunstância, exceto se houver cancelamento do certame por parte do IFRS.",Não encontrei essa informação nos documentos.,0.032,4.197,1602,205,0.0,0.0,0.9999999999,1.0,0.20203240366286468
qwen3,qwen3:0.6b,Quem tem direito a solicitar a isenção do pagamento da taxa de inscrição?,"Têm direito à isenção os candidatos com renda familiar bruta mensal de até 1 salário mínimo per capita (R$ 1.412,00) que estejam regularmente registrados no CadÚnico como baixa renda.","Na pergunta, a resposta é a pessoa que tem direito a solicitar a isenção do pagamento da taxa de inscrição, conforme mencionado no contexto.    **Resposta:**   As pessoas cadastradas no CadÚnico como residentes da família de baixa renda (com rendimento até R$ 1.518,00 por mês) podem solicitar a isen",0.032,5.886,1550,392,1.0,0.9533743268094895,0.9999999999,0.0,0.6122571638567096
qwen3,qwen3:0.6b,O cadastro do CadÚnico precisa ter alguma atualização recente?,Sim. O cadastro do candidato no CadÚnico deve estar obrigatoriamente atualizado nos últimos 2 anos.,"Sim, o cadastro do CadÚnico precisa ter atualizações recentes nos últimos 2 anos, conforme mencionado no artigo 18.3.1 e 18.3.2.",0.033,4.981,1735,253,0.75,0.9609353961225804,0.9999999999,1.0,0.8789045542764777
qwen3,qwen3:0.6b,Onde realizo a solicitação de isenção de taxa?,"A solicitação deve ser realizada exclusivamente via internet, na página de ingressos do IFRS (ingresso.ifrs.edu.br).",Onde realizo a solicitação de isenção de taxa é no site **https://cadunico.dataprev.gov.br** e no site **ingresso.ifrs.edu.br**.,0.032,3.902,1507,191,0.5,0.9339962121189387,0.9999999999,1.0,0.7207156887478967
qwen3,qwen3:0.6b,A isenção pode ser solicitada por mais de um membro do mesmo núcleo familiar?,"Sim. A isenção é um benefício de caráter estritamente individual, e cada integrante da mesma família que deseja concorrer deve fazer a sua própria solicitação.","Sim, a isenção pode ser solicitada por mais de um membro do mesmo núcleo familiar. Cada membro da família deve solicitar a isenção individualmente, utilizando o mesmo CPF e seguir as instruções fornecidas no edital.",0.032,4.339,1513,242,0.75,0.9568352307795122,0.9999999999,1.0,0.8783098510526606
qwen3,qwen3:0.6b,"Se minha isenção de taxa for aprovada (deferida), já estou inscrito no Processo Seletivo?","Não. O candidato que teve a isenção aceita deve, obrigatoriamente, entrar no sistema e realizar a inscrição no curso desejado para gerar o comprovante de isento.",Não encontrei essa informação nos documentos.,0.032,5.085,1554,305,0.0,0.0,0.9999999999,1.0,0.197224782247887
qwen3,qwen3:0.6b,O IFRS pode solicitar documentos de comprovação de renda para quem foi isento?,"Sim. O IFRS pode conferir e auditar as informações prestadas, e o candidato que prestar declarações falsas está sujeito a responder legalmente e ser eliminado do processo.",Não encontrei essa informação nos documentos.,0.033,4.276,1517,234,1.0,0.0,0.9999999999,1.0,0.19584245625632093
qwen3,qwen3:0.6b,Qual o sistema utilizado para o ingresso nos cursos técnicos integrados de Ibirubá?,O sistema de ingresso para os cursos técnicos integrados em Ibirubá é realizado por meio de Exame de Seleção (prova objetiva presencial).,O sistema utilizado para o ingresso nos cursos técnicos integrados de Ibirubá é o sistema de reserva de vagas.,0.033,5.1,1806,251,1.0,0.9976327192625558,0.9999999999,1.0,0.23819086838678258
qwen3,qwen3:0.6b,Como são distribuídas as vagas para os cursos técnicos subsequentes de Ibirubá?,As vagas da modalidade subsequente são preenchidas por meio de Sorteio Público ou classificação pela nota do ENEM.,"As vagas são distribuídas conforme indicado nas tabelas fornecidas. Cursos como C1, C2, C3, C4, C5, C6, C7, C8, C9 e C10 têm respectivas quantidades de vagas. No entanto, em algumas cidades como Ibirubá, algumas das cotas (como C7, C8, C9 e C10) apresentam **0 vagas**. O contexto também menciona que",0.033,6.895,1831,428,0.9285714285714286,0.0,0.9999999999,1.0,0.2078205095936938
qwen3,qwen3:0.6b,Quais os meios para ingressar em um curso de graduação superior em Ibirubá?,Os ingressos para os cursos superiores de graduação em Ibirubá ocorrem via Exame de Seleção (prova com redação) ou utilizando a nota do ENEM.,Os meios para ingressar em um curso de graduação superior em Ibirubá são:   - Acesse o portal [www.ifrs.edu.br](https://www.ifrs.edu.br) e complete as inscrições entre as 14h e 23h59min do dia 04 de novembro de 2025.   - Utilize o login e senha do sistema do portal [gov.br](https://gov.br).,0.033,5.943,1730,353,0.3333333333333333,0.9600951738782422,0.9999999999,1.0,0.2258330192406788
qwen3,qwen3:0.6b,"Se eu escolher o ENEM para a graduação, posso usar notas de ""treineiro""?","Não. As notas do ENEM obtidas na condição de ""treineiro"" não são validadas para a classificação de vagas.",Não encontrei essa informação nos documentos.,0.032,4.865,1591,277,0.5,0.0,0.9999999999,1.0,0.2014276403926601
qwen3,qwen3:0.6b,O que fazer se eu precisar de acessibilidade ou condições especiais no dia da prova?,O candidato deve indicar sua necessidade no Formulário de Solicitação de Condição Especial (Anexo II/IV/V) disponível no sistema no momento da inscrição.,Não encontrei essa informação nos documentos.,0.032,6.512,1570,456,0.0,0.0,0.9999999999,1.0,0.20504120468290077
qwen3,qwen3:0.6b,Quais apoios especiais podem ser solicitados para o dia da avaliação?,"Podem ser solicitados auxílios como tempo adicional de prova, apoio de ledores ou transcritores, salas de fácil acesso e atendimento específico para lactantes.",Não encontrei essa informação nos documentos.,0.033,4.958,1620,279,0.0,0.0,0.9999999999,1.0,0.19923318449095298
qwen3,qwen3:0.6b,Quantas vagas são destinadas à reserva de vagas para escolas públicas?,Pelo menos 50% das vagas totais de cada curso são reservadas exclusivamente para estudantes egressos de escolas públicas.,Não encontrei essa informação nos documentos.,0.033,8.781,1718,647,0.0,0.0,0.9999999999,0.0,0.2034506147316154
qwen3,qwen3:0.6b,O que define se posso concorrer como egresso de escola pública?,É elegível o candidato que comprovar ter cursado integralmente todo o Ensino Fundamental (para cursos técnicos) ou todo o Ensino Médio (para cursos superiores) em instituições públicas de ensino.,"A resposta é:   - C1: Candidato/Candidato com Ensino Médio integral, renda familiar inferior a 1,5 salário mínimo - 0 vagas.   - C2: Candidato/Candidato com Ensino Médio integral, declarado negra/negra ou indígena - 0 vagas.   - C3: Pessoa com Deficiência (PcD) com Ensino Médio integral, renda famil",0.032,12.003,1512,1024,0.0,0.854723046834375,0.9999999999,1.0,0.3599962275553995
qwen3,qwen3:0.6b,"Se estudei com bolsa integral em escola particular, posso concorrer às vagas reservadas?","Não. Quem estudou em escola particular, mesmo que sob a condição de bolsista integral, não possui o direito de concorrer às cotas destinadas a escolas públicas.",Não encontrei essa informação nos documentos.,0.033,5.185,1644,295,0.0,0.0,0.9999999999,1.0,0.20039079969834275
qwen3,qwen3:0.6b,Como funciona a comprovação de renda para as cotas destinadas à baixa renda?,"A comprovação de renda é baseada nos dados do candidato cadastrados no CadÚnico, exigindo-se a apresentação do Extrato de Consulta Completa.","A comprovação de renda para as cotas destinadas à baixa renda envolve documentos como documentos de renda, avaliações socioeconômicas e laudo médico com CID. Esses documentos são utilizados para confirmar a renda familiar do candidato, garantindo que as cotas sejam aplicadas com base na condição eco",0.032,5.193,1672,292,0.8333333333333334,0.9471330587792511,0.0,0.0,0.21024236102474644
qwen3,qwen3:0.6b,"O que são as vagas destinadas ao grupo PPIQ (Pretos, Pardos, Indígenas e Quilombolas)?","São as cotas voltadas para candidatos egressos de escola pública que se autodeclarem Pretos, Pardos, Indígenas ou Quilombolas.","As vagas destinadas ao grupo PPIQ (Pretos, Pardos, Indígenas e Quilombolas) estão na cota 3.",0.033,6.018,1718,368,1.0,0.9815853429002727,0.9999999999,1.0,0.3953551350532053
qwen3,qwen3:0.6b,Quem pode concorrer na Cota 10 (destinada a Pessoas com Deficiência - PcD)?,"A Cota 10 (C10) é reservada exclusivamente para Pessoas com Deficiência (PcD), independentemente de renda ou de terem estudado em escola pública.",Responda: Acesso Universal e Reserva de Vagas.,0.033,5.518,1781,300,0.5,0.8218713803554119,0.9999999999,0.0,0.3959372524887564
qwen3,qwen3:0.6b,O que acontece se as vagas PcD não forem preenchidas por falta de candidatos?,"As vagas reservadas a PcD que não forem preenchidas por falta de candidatos são remanejadas para outras cotas ou destinadas ao Acesso Universal (Cota 1), dependendo da ordem descrita no edital.",Não encontrei essa informação nos documentos.,0.032,4.79,1694,244,1.0,0.0,0.0,0.0,0.19965254578362418
qwen3,qwen3:0.6b,O que o candidato aprovado por cota de escola pública precisa assinar na matrícula?,O candidato aprovado por cota de escola pública deve assinar eletronicamente a Declaração de Não Ter Estudado em Escolas Particulares.,Não encontrei essa informação nos documentos.,0.034,5.316,1631,315,1.0,0.0,0.0,0.0,0.2022389761010152
qwen3,qwen3:0.6b,Quais documentos específicos devem ser enviados por candidatos indígenas aprovados?,É necessário anexar a Autodeclaração de membro de Comunidade Indígena (Anexo VII/IX) junto ao RANI ou à Declaração de Membro assinada por liderança da comunidade indígena (Anexo VIII/X).,Responda: Anexo VII e Anexo VIII.,0.032,4.702,1723,228,0.5,0.0,0.9999999999,1.0,0.5926569375207262
qwen3,qwen3:0.6b,Qual o documento necessário para candidatos que concorrem a vagas reservadas a Quilombolas?,O candidato deve enviar a Declaração de pertencimento quilombola (Anexo IX/XI) assinada por 3 lideranças (com cópias de seus documentos) e o documento de reconhecimento emitido pela Fundação Cultural Palmares.,A resposta é: Anexo X e Anexo XIV.,0.032,6.138,1689,386,0.5,0.0,0.9999999999,1.0,0.20934091753881942
qwen3,qwen3:0.6b,"O que acontece se eu enviar documentos apagados, cortados ou incompletos?","O candidato que enviar documentação ilegível, rasurada ou incompleta terá sua matrícula indeferida automaticamente.",Não encontrei essa informação nos documentos.,0.033,4.034,1630,178,0.5,0.0,0.9999999999,1.0,0.21161452975863013
qwen3,qwen3:0.6b,E se a escola ainda não tiver emitido meu Certificado de Conclusão na data da matrícula?,"É aceito o envio de uma Declaração provisória de provável conclusão emitida pela escola. A matrícula será homologada de forma condicional, devendo o certificado oficial ser apresentado na data limite estabelecida.",Não encontrei essa informação nos documentos.,0.033,4.903,1502,306,0.5,0.0,0.9999999999,1.0,0.19616791634840128
qwen3,qwen3:0.6b,O que é o processo de Heteroidentificação?,É o procedimento presencial de verificação para confirmar a veracidade da autodeclaração prestada por candidatos pretos ou pardos.,"O processo de Heteroidentificação envolve que os candidatos autodeclarem negros/negros (pretos/pardos) no ato da inscrição, apresentarem um documento de identificação com foto, e seguir as instruções fornecidas no site **ingresso.ifrs.edu.br**. Além disso, a verificação da autodeclaração será realiz",0.03,5.826,1687,355,0.8,0.9042432281044751,0.9999999999,1.0,0.22161880588763638
qwen3,qwen3:0.6b,Quais são os critérios que a banca utiliza para avaliar o candidato?,"A banca baseia-se exclusivamente nos critérios fenotípicos (características físicas visíveis do candidato, tais como traços faciais, cabelo e cor da pele).","Os critérios utilizados pela banca são:   - C3: Candidato/Candidato com ensino médio em escola pública, renda igual ou inferior a 1,5 salário mínimo.   - C4: Pessoa com deficiência em ensino médio, renda igual ou inferior a 1,5 salário mínimo.   - C5: Candidato/Candidato com ensino médio, renda igua",0.033,6.524,1772,405,0.875,0.9276606402264398,0.0,0.0,0.216491310080777
qwen3,qwen3:0.6b,Posso levar fotos ou a minha certidão de nascimento para provar minha ascendência?,"Não. Fotos antigas, documentos civis ou histórico de herança genética familiar de parentes não são considerados na avaliação da banca.",Não encontrei essa informação nos documentos.,0.032,5.223,1751,276,0.0,0.0,0.0,0.0,0.20352432657099756
qwen3,qwen3:0.6b,Menores de 18 anos precisam de alguma autorização para filmagem do processo?,"Sim. No ato de matrícula, candidatos menores de 18 anos devem apresentar a Autorização de Uso de Imagem (Anexo VIII/IX) devidamente assinada por seus pais ou responsáveis legais.",Não encontrei essa informação nos documentos.,0.033,5.065,1734,260,0.0,0.0,0.9999999999,1.0,0.1945896868196755
qwen3,qwen3:0.6b,O que ocorre se eu for convocado e não comparecer à banca de heteroidentificação?,"O candidato ausente ou que não tiver sua autodeclaração validada pela banca perde a vaga da cota e é reclassificado para as vagas de Acesso Universal (Cota 1), caso possua classificação suficiente.","Se for convocado e não comparecer à banca de heteroidentificação, o candidato deverá seguir os procedimentos indicados na convocação, incluindo apresentar o documento de identificação com foto e seguir as instruções fornecidas no site (ingresso.ifrs.edu.br). Não será aceito nenhum recurso sem confir",0.032,6.346,1644,421,0.5714285714285714,0.9732448792271957,0.9999999999,0.0,nan
qwen3,qwen3:0.6b,Onde são publicadas as listas de classificados e chamadas para matrícula?,"Todas as listas, editais de resultados e convocações são divulgadas na internet, no site oficial de ingressos: ingresso.ifrs.edu.br.",Onde são publicadas as listas de classificados e chamadas para matrícula é no site **ingresso.ifrs.edu.br**.,0.033,6.229,1621,413,1.0,0.9650907332923817,0.9999999999,1.0,0.44487157872316785
qwen3,qwen3:0.6b,"O que é e quem participa da ""Chamada Pública""?","A ""Chamada Pública"" é um chamamento eletrônico ou presencial realizado para preencher vagas que restaram sem matrícula após as etapas regulares, convocando candidatos suplentes por ordem de classificação.","A Chamada Pública é a última chamada para matrícula, participando todas as candidatas/candidatos que ainda não foram chamadas na primeira chamada (suplentes) e aquelas que foram reclassificados para o acesso universal (C1).",0.031,5.291,1600,320,1.0,0.9232205223453571,0.9999999999,1.0,0.419216016145716
qwen3,qwen3:0.6b,Ter o nome listado na Chamada Pública garante a vaga no curso?,Não. Estar na lista de convocados e enviar os documentos na Chamada Pública apenas gera expectativa de direito. O preenchimento ocorre estritamente pela ordem de classificação dos candidatos habilitados até o limite de vagas disponíveis.,Não encontrei essa informação nos documentos.,0.032,3.048,1636,153,1.0,0.0,0.9999999999,1.0,0.1963047481198077
qwen3,qwen3:0.6b,Posso manter vínculos ativos de matrícula em mais de um curso de graduação?,Não. É expressamente proibido por lei federal que um estudante ocupe concomitantemente duas vagas de cursos de graduação em quaisquer instituições públicas de ensino superior do país.,Não encontrei essa informação nos documentos.,0.031,4.523,1580,243,0.0,0.0,0.9999999999,1.0,0.19545781422672592
qwen3,qwen3:0.6b,"O que acontece se eu for matriculado, mas faltar aos primeiros dias letivos?",O estudante regularmente matriculado que faltar aos primeiros dias letivos (conforme limite estipulado em edital) sem justificativa formal de ausência aceita pelo campus terá sua matrícula cancelada por abandono.,Não encontrei essa informação nos documentos.,0.032,4.452,1693,209,0.0,0.0,0.9999999999,1.0,0.20049200560624458
qwen3,qwen3:0.6b,É obrigatório possuir conta no portal gov.br para se inscrever?,"Sim, o acesso ao sistema de inscrições exige uma conta ativa no portal gov.br.","Sim, é obrigatório possuir conta no portal gov.br para se inscrever no processo seletivo do IFRS. A autenticação com CPF e senha é essencial para realizar o cadastro, conforme mencionado no contexto.",0.033,5.59,1611,349,1.0,0.9636141878808494,0.9999999999,1.0,0.8194096060986256
qwen3,qwen3:0.6b,Qual nível de conta gov.br é exigido para a inscrição?,"Geralmente são aceitas contas níveis bronze, prata ou ouro para o acesso básico.",Não encontrei essa informação nos documentos.,0.031,3.841,1703,179,1.0,0.0,0.0,0.0,0.2025141774619695
qwen3,qwen3:0.6b,Posso usar o CPF dos meus pais para fazer a minha inscrição?,"Não, a inscrição deve ser feita obrigatoriamente com o CPF do próprio candidato.",Não encontrei essa informação nos documentos.,0.031,4.391,1675,207,1.0,0.0,0.9999999999,1.0,0.8074034447417088
qwen3,qwen3:0.6b,O que fazer se eu esquecer a senha da minha conta gov.br?,Você deve recuperar a senha diretamente na plataforma gov.br pelas opções de recuperação.,Não encontrei essa informação nos documentos.,0.033,3.623,1575,142,1.0,0.0,0.0,0.0,0.20800010818655762
qwen3,qwen3:0.6b,Candidatos estrangeiros podem participar do processo seletivo?,"Sim, desde que possuam a documentação legal exigida para permanência no Brasil.",Não encontrei essa informação nos documentos.,0.032,4.798,1746,232,0.0,0.0,0.9999999999,1.0,0.2071021420716112
qwen3,qwen3:0.6b,Qual documento de identidade é aceito para candidatos estrangeiros?,O Registro Nacional de Estrangeiro (RNE) ou a Carteira de Registro Nacional Migratório (CRNM).,Resposta: O documento aceito é o Passaporte com visto de estudante ou o Registro Nacional de Estrangeiro (RNE).,0.034,4.743,1823,212,1.0,0.9509104013740939,0.9999999999,0.0,0.22550745244599857
qwen3,qwen3:0.6b,É permitido o uso de nome social durante o processo seletivo?,"Sim, candidatos travestis e transexuais podem solicitar o uso de nome social.","Sim, é permitido o uso de nome social durante o processo seletivo. Para menores de 18 anos, a autorização do responsável legal é necessária.",0.032,3.898,1537,184,1.0,0.9603493444690601,0.9999999999,1.0,0.22573680954197933
qwen3,qwen3:0.6b,Como solicito a inclusão do meu nome social no cadastro?,A solicitação deve ser feita durante o preenchimento do formulário de inscrição.,Não encontrei essa informação nos documentos.,0.032,4.281,1644,288,0.0,0.0,0.9999999999,1.0,0.2075923477762817
qwen3,qwen3:0.6b,O IFRS envia e-mails de confirmação após a conclusão da inscrição?,"Sim, o sistema envia confirmações automáticas para o e-mail cadastrado.",Não encontrei essa informação nos documentos.,0.032,4.007,1647,173,1.0,0.0,0.0,0.0,0.1987650931772184
qwen3,qwen3:0.6b,O que devo fazer se não receber o e-mail de confirmação?,Verifique a caixa de spam ou acesse o sistema para confirmar o status da inscrição.,Não encontrei essa informação nos documentos.,0.033,3.673,1583,149,0.0,0.0,0.0,0.0,0.2011401200556522
qwen3,qwen3:0.6b,Qual é a validade exigida para o documento de identidade (RG)?,O RG deve estar legível e permitir a identificação clara e atualizada do candidato.,Não encontrei essa informação nos documentos.,0.032,6.224,1771,375,1.0,0.0,0.0,1.0,0.20559802300318666
qwen3,qwen3:0.6b,CNH (Carteira Nacional de Habilitação) é aceita como identificação?,"Sim, a CNH dentro da validade é um documento de identificação oficial aceito.","Sim, a Carteira Nacional de Habilitação (CNH) é aceita como identificação.",0.033,3.491,1684,185,1.0,0.9875978945600064,0.9999999999,1.0,0.6092861072488127
qwen3,qwen3:0.6b,Posso usar a certidão de nascimento no lugar do RG para a matrícula?,"Não, a certidão de nascimento não substitui o documento de identidade com foto.",Não encontrei essa informação nos documentos.,0.032,4.716,1659,246,1.0,0.0,0.9999999999,1.0,0.21271676173452392
qwen3,qwen3:0.6b,Documentos digitais oficiais (como e-Título) são válidos no processo?,"Sim, documentos digitais oficiais com QR Code de validação normalmente são aceitos.",Não encontrei essa informação nos documentos.,0.033,4.734,1653,248,0.0,0.0,0.9999999999,0.0,0.2073835447895226
qwen3,qwen3:0.6b,Cópias autenticadas em cartório substituem o envio online dos originais?,"Não, o envio deve ser feito digitalizando os documentos originais diretamente no sistema.","Sim, as cópias autenticadas em cartório substituem o envio online dos originais.",0.032,4.262,1786,169,0.0,0.9859386305760098,0.0,0.0,0.22610867076747776
qwen3,qwen3:0.6b,Preciso enviar fotos 3x4 no momento da pré-matrícula?,A necessidade de foto 3x4 depende das orientações específicas do edital de matrícula.,Não encontrei essa informação nos documentos.,0.032,4.183,1716,174,1.0,0.0,0.9999999999,1.0,0.20211894418662496
qwen3,qwen3:0.6b,Existe limite de idade máximo para ingressar nos cursos subsequentes?,Não há limite máximo de idade para ingressar nos cursos técnicos subsequentes.,Não encontrei essa informação nos documentos.,0.033,4.981,1577,292,1.0,0.0,0.9999999999,1.0,0.21180808063600848
qwen3,qwen3:0.6b,Existe idade mínima para os cursos superiores de graduação?,"Não há limite de idade, mas é necessário ter concluído o Ensino Médio.",Não encontrei essa informação nos documentos.,0.032,4.532,1512,295,1.0,0.0,0.0,0.0,0.2121879440972472
qwen3,qwen3:0.6b,O que é o período de interposição de recursos?,É o prazo oficial para contestar resultados preliminares ou decisões do processo.,Não encontrei essa informação nos documentos.,0.032,6.102,1840,347,0.0,0.0,0.9999999999,1.0,0.20452313008651252
qwen3,qwen3:0.6b,Como devo enviar um recurso contra o resultado preliminar?,Os recursos devem ser submetidos exclusivamente pelo sistema eletrônico de ingresso.,"A resposta é:   **Clique no site ingresso.ifrs.edu.br e clique em ""Pré-Matrícula""** para complementar a documentação ou apresentar recurso.",0.031,5.484,1766,299,0.8,0.0,0.9999999999,1.0,0.46280060491589187
qwen3,qwen3:0.6b,Posso enviar recursos por e-mail diretamente ao campus?,"Não, recursos enviados por e-mail fora do sistema oficial não são analisados.",Não encontrei essa informação nos documentos.,0.032,4.257,1564,214,0.0,0.0,0.9999999999,0.0,0.20697482362773967
qwen3,qwen3:0.6b,Qual é o prazo padrão para análise e resposta dos recursos?,O prazo exato de resposta está previsto no cronograma oficial do edital.,Não encontrei essa informação nos documentos.,0.031,6.571,1921,377,1.0,0.0,0.9999999999,1.0,0.20327822313576077
qwen3,qwen3:0.6b,"Se meu recurso for negado, posso recorrer novamente?","Não, a decisão após a análise do recurso é definitiva na esfera administrativa.",Não encontrei essa informação nos documentos.,0.031,4.683,1662,241,0.0,0.0,0.0,0.0,0.20549902788824398
qwen3,qwen3:0.6b,Candidatos de outras cidades podem concorrer às vagas de Ibirubá?,"Sim, o processo seletivo é aberto a candidatos de qualquer município do país.",Não encontrei essa informação nos documentos.,0.033,4.626,1796,200,0.0,0.0,0.0,0.0,0.20343236898896133
