branch,modelo,pergunta,resposta_esperada,resposta_gerada,tempo_retrieval_s,tempo_llm_s,tokens_entrada,tokens_saida,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
llama3,llama3,Há devolução do valor pago na taxa de inscrição se eu desistir de participar?,"Não. O valor pago na taxa de inscrição não é reembolsável sob nenhuma circunstância, exceto se houver cancelamento do certame por parte do IFRS.","Sim, há devolução do valor pago da taxa de inscrição se o Processo Seletivo for cancelado ou para as/os candidatas/candidatos inscritos em algum curso que seja cancelada a oferta. (Ver item 6.9)",0.038,21.272,1575,56,1.0,0.9404758984653694,0.9999999999,1.0,0.22992768551349219
llama3,llama3,Quem tem direito a solicitar a isenção do pagamento da taxa de inscrição?,"Têm direito à isenção os candidatos com renda familiar bruta mensal de até 1 salário mínimo per capita (R$ 1.412,00) que estejam regularmente registrados no CadÚnico como baixa renda.","Poderão solicitar isenção da taxa de inscrição pessoas cadastradas no CadÚnico como pertencente a família de baixa renda. Família de baixa renda é a que recebe até 1 salário mínimo por pessoa (R$ 1.518,00) por mês. Além disso, o cadastro da família no CadÚnico precisa estar atualizado nos últimos 2 ",0.037,21.836,1521,94,1.0,0.9219855810117864,0.9999999999,0.0,0.5649836307520603
llama3,llama3,O cadastro do CadÚnico precisa ter alguma atualização recente?,Sim. O cadastro do candidato no CadÚnico deve estar obrigatoriamente atualizado nos últimos 2 anos.,"Sim, segundo os documentos fornecidos, o cadastro do CadÚnico precisa estar atualizado nos últimos 2 anos (ver item 7.8 e 9.3).",0.037,22.254,1722,40,1.0,0.9500622311284532,0.9999999999,1.0,0.9869847863364868
llama3,llama3,Onde realizo a solicitação de isenção de taxa?,"A solicitação deve ser realizada exclusivamente via internet, na página de ingressos do IFRS (ingresso.ifrs.edu.br).","A pessoa que deseja realizar a solicitação de isenção da taxa de inscrição pode acessar o endereço https://cadunico.dataprev.gov.br e clicar no botão onde diz: “Entrar com o gov.br”. Após realizar o login (acesso), utilizar a opção “Consulta ao Formulário” para gerar o Extrato de Consulta Completa e",0.038,22.942,1479,124,1.0,0.9160251778238102,0.9999999999,1.0,0.5589586890906105
llama3,llama3,A isenção pode ser solicitada por mais de um membro do mesmo núcleo familiar?,"Sim. A isenção é um benefício de caráter estritamente individual, e cada integrante da mesma família que deseja concorrer deve fazer a sua própria solicitação.","Sim, a resposta está no contexto. Segundo o item 2.1 e 3.6, ""Se mais de uma pessoa de uma mesma família fizer a inscrição no processo seletivo, cada uma deverá solicitar o não pagamento da taxa de inscrição.""",0.041,20.528,1486,62,0.5,0.8951121605748219,0.9999999999,1.0,0.725850006921027
llama3,llama3,"Se minha isenção de taxa for aprovada (deferida), já estou inscrito no Processo Seletivo?","Não. O candidato que teve a isenção aceita deve, obrigatoriamente, entrar no sistema e realizar a inscrição no curso desejado para gerar o comprovante de isento.","Sim, se sua solicitação de isenção da taxa de inscrição for aprovada (deferida), você já está inscrito no Processo Seletivo.",0.036,19.748,1539,38,0.0,0.9608615341393196,0.9999999999,1.0,0.2247507229754892
llama3,llama3,O IFRS pode solicitar documentos de comprovação de renda para quem foi isento?,"Sim. O IFRS pode conferir e auditar as informações prestadas, e o candidato que prestar declarações falsas está sujeito a responder legalmente e ser eliminado do processo.",Não encontrei essa informação nos documentos.,0.037,18.531,1499,11,1.0,0.0,0.9999999999,1.0,0.19584245625632093
llama3,llama3,Qual o sistema utilizado para o ingresso nos cursos técnicos integrados de Ibirubá?,O sistema de ingresso para os cursos técnicos integrados em Ibirubá é realizado por meio de Exame de Seleção (prova objetiva presencial).,Não encontrei essa informação nos documentos.,0.038,21.121,1725,11,0.0,0.0,0.9999999999,1.0,0.2012983412280953
llama3,llama3,Como são distribuídas as vagas para os cursos técnicos subsequentes de Ibirubá?,As vagas da modalidade subsequente são preenchidas por meio de Sorteio Público ou classificação pela nota do ENEM.,"As vagas para os cursos técnicos subsequentes de Ibirubá estão distribuídas da seguinte forma:  * Técnico em Mecânica: 30 vagas, com 1 vaga reservada para ensino público e renda igual ou inferior a 1 salário mínimo. * Técnico em Eletrotécnica: 30 vagas, com 1 vaga reservada para ensino público e ren",0.041,25.734,1745,120,0.5714285714285714,0.9331209124250816,0.9999999999,1.0,0.19940906634843203
llama3,llama3,Quais os meios para ingressar em um curso de graduação superior em Ibirubá?,Os ingressos para os cursos superiores de graduação em Ibirubá ocorrem via Exame de Seleção (prova com redação) ou utilizando a nota do ENEM.,Não encontrei essa informação nos documentos.,0.037,20.543,1680,11,0.0,0.0,0.9999999999,1.0,0.2016859459805803
llama3,llama3,"Se eu escolher o ENEM para a graduação, posso usar notas de ""treineiro""?","Não. As notas do ENEM obtidas na condição de ""treineiro"" não são validadas para a classificação de vagas.",Não encontrei essa informação nos documentos.,0.04,19.487,1570,11,0.0,0.0,0.9999999999,1.0,0.2014276403926601
llama3,llama3,O que fazer se eu precisar de acessibilidade ou condições especiais no dia da prova?,O candidato deve indicar sua necessidade no Formulário de Solicitação de Condição Especial (Anexo II/IV/V) disponível no sistema no momento da inscrição.,"De acordo com o contexto fornecido, se você precisar de acessibilidade ou condições especiais no dia da prova, você pode solicitar atendimento especial mediante parecer de profissional da área da saúde. Além disso, é necessário apresentar atestado médico no campus.",0.04,21.312,1583,61,0.3333333333333333,0.9643195760615154,0.9999999999,0.0,0.20932575472532844
llama3,llama3,Quais apoios especiais podem ser solicitados para o dia da avaliação?,"Podem ser solicitados auxílios como tempo adicional de prova, apoio de ledores ou transcritores, salas de fácil acesso e atendimento específico para lactantes.","Aqui estão os apoios especiais que podem ser solicitados para o dia da avaliação, listados no contexto:  * Acesso facilitado em função de dificuldade de locomoção ou uso de cadeira de roda. * Mesa adequada a uma cadeira de rodas. * Cadeira e mesa adequadas à minha estatura ou amputação. * Realização",0.036,33.54,1630,356,1.0,0.9934098778836188,0.9999999999,1.0,0.47858211467862466
llama3,llama3,Quantas vagas são destinadas à reserva de vagas para escolas públicas?,Pelo menos 50% das vagas totais de cada curso são reservadas exclusivamente para estudantes egressos de escolas públicas.,"Segundo o contexto, as vagas reservadas para estudantes de escola pública serão divididas em:  * C9 – estudante de escola pública; * C5 – estudante de escola pública e de baixa renda; * C7 – estudante de escola pública e autodeclarado preto, pardo, indígena ou quilombola; * C8 – estudante de escola ",0.036,30.022,1714,243,0.9,0.0,0.9999999999,0.0,0.43238800875752215
llama3,llama3,O que define se posso concorrer como egresso de escola pública?,É elegível o candidato que comprovar ter cursado integralmente todo o Ensino Fundamental (para cursos técnicos) ou todo o Ensino Médio (para cursos superiores) em instituições públicas de ensino.,"Segundo o contexto fornecido, para concorrer como egresso de escola pública, é necessário ter cursado integralmente o Ensino Médio em escola pública. Além disso, há algumas condições específicas para as categorias C4, C5, C6, C7 e C8, que envolvem renda familiar bruta per capita igual ou inferior a ",0.039,22.096,1513,104,1.0,0.9367568120966187,0.9999999999,1.0,0.42811426948175546
llama3,llama3,"Se estudei com bolsa integral em escola particular, posso concorrer às vagas reservadas?","Não. Quem estudou em escola particular, mesmo que sob a condição de bolsista integral, não possui o direito de concorrer às cotas destinadas a escolas públicas.",Não encontrei essa informação nos documentos.,0.064,19.7,1625,11,0.0,0.0,0.9999999999,1.0,0.20039079969834275
llama3,llama3,Como funciona a comprovação de renda para as cotas destinadas à baixa renda?,"A comprovação de renda é baseada nos dados do candidato cadastrados no CadÚnico, exigindo-se a apresentação do Extrato de Consulta Completa.","A comprovação de renda para as cotas destinadas à baixa renda é feita por meio da apresentação dos documentos de renda, como mencionado na tabela de documentação exigida para matrícula em cotas.",0.036,22.063,1677,54,0.5,0.9879918006053366,0.0,0.0,0.2204404956591282
llama3,llama3,"O que são as vagas destinadas ao grupo PPIQ (Pretos, Pardos, Indígenas e Quilombolas)?","São as cotas voltadas para candidatos egressos de escola pública que se autodeclarem Pretos, Pardos, Indígenas ou Quilombolas.","As vagas destinadas ao grupo PPIQ (Pretos, Pardos, Indígenas e Quilombolas) são as seguintes:  * Cota 2: Pessoa com Deficiência (PcD) que tenha cursado integralmente o Ensino Fundamental (Cursos Técnicos) ou Ensino Médio (Cursos de Graduação) em escola pública, autodeclarada/autodeclarado negra/negr",0.037,35.007,1718,362,nan,0.9139697828254104,0.9999999999,1.0,0.6387551252699222
llama3,llama3,Quem pode concorrer na Cota 10 (destinada a Pessoas com Deficiência - PcD)?,"A Cota 10 (C10) é reservada exclusivamente para Pessoas com Deficiência (PcD), independentemente de renda ou de terem estudado em escola pública.","Não encontrei essa informação nos documentos. A Cota 10 não está relacionada às pessoas com deficiência, portanto, não há informações sobre quem pode concorrer nessa cota específica.",0.036,23.225,1780,46,0.0,0.0,0.9999999999,0.0,0.22296332927084125
llama3,llama3,O que acontece se as vagas PcD não forem preenchidas por falta de candidatos?,"As vagas reservadas a PcD que não forem preenchidas por falta de candidatos são remanejadas para outras cotas ou destinadas ao Acesso Universal (Cota 1), dependendo da ordem descrita no edital.",Não encontrei essa informação nos documentos.,0.038,20.58,1693,11,1.0,0.0,0.0,0.0,0.19965254578362418
llama3,llama3,O que o candidato aprovado por cota de escola pública precisa assinar na matrícula?,O candidato aprovado por cota de escola pública deve assinar eletronicamente a Declaração de Não Ter Estudado em Escolas Particulares.,Não encontrei essa informação nos documentos.,0.037,20.01,1646,11,1.0,0.0,0.0,0.0,0.2022389761010152
llama3,llama3,Quais documentos específicos devem ser enviados por candidatos indígenas aprovados?,É necessário anexar a Autodeclaração de membro de Comunidade Indígena (Anexo VII/IX) junto ao RANI ou à Declaração de Membro assinada por liderança da comunidade indígena (Anexo VIII/X).,"Para candidatos indígenas, os documentos específicos que devem ser enviados são:  * Autodeclaração de membro de Comunidade indígena (Anexo VII); * Registro Administrativo de Nascimento de Indígena (RANI); ou * Declaração de Membro de Comunidade Indígena pela Liderança Indígena (PPI).  Esses document",0.036,25.054,1730,114,0.75,0.9844141261688675,0.9999999999,1.0,0.786228068539871
llama3,llama3,Qual o documento necessário para candidatos que concorrem a vagas reservadas a Quilombolas?,O candidato deve enviar a Declaração de pertencimento quilombola (Anexo IX/XI) assinada por 3 lideranças (com cópias de seus documentos) e o documento de reconhecimento emitido pela Fundação Cultural Palmares.,Declaração de pertencimento à Comunidade Quilombola (Anexo IX) assinado por 3 (três) lideranças da Comunidade Quilombola a qual o candidato pertence e documento oficial de identificação com foto e assinatura (frente e verso) de cada uma das três lideranças que assinarem a declaração de pertencimento,0.037,23.735,1689,91,0.75,0.9332440147825467,0.9999999999,1.0,0.5703372088492638
llama3,llama3,"O que acontece se eu enviar documentos apagados, cortados ou incompletos?","O candidato que enviar documentação ilegível, rasurada ou incompleta terá sua matrícula indeferida automaticamente.",Não encontrei essa informação nos documentos.,0.037,19.713,1627,11,0.5,0.0,0.9999999999,1.0,0.21161452975863013
llama3,llama3,E se a escola ainda não tiver emitido meu Certificado de Conclusão na data da matrícula?,"É aceito o envio de uma Declaração provisória de provável conclusão emitida pela escola. A matrícula será homologada de forma condicional, devendo o certificado oficial ser apresentado na data limite estabelecida.",Não encontrei essa informação nos documentos.,0.037,18.426,1524,11,0.0,0.0,0.9999999999,1.0,0.19616791634840128
llama3,llama3,O que é o processo de Heteroidentificação?,É o procedimento presencial de verificação para confirmar a veracidade da autodeclaração prestada por candidatos pretos ou pardos.,Não encontrei essa informação nos documentos.,0.039,20.361,1669,11,0.0,0.0,0.9999999999,1.0,0.2044043518551922
llama3,llama3,Quais são os critérios que a banca utiliza para avaliar o candidato?,"A banca baseia-se exclusivamente nos critérios fenotípicos (características físicas visíveis do candidato, tais como traços faciais, cabelo e cor da pele).",Não encontrei essa informação nos documentos.,0.037,21.791,1772,11,0.0,0.0,0.0,0.0,0.20461056206801254
llama3,llama3,Posso levar fotos ou a minha certidão de nascimento para provar minha ascendência?,"Não. Fotos antigas, documentos civis ou histórico de herança genética familiar de parentes não são considerados na avaliação da banca.",Não encontrei essa informação nos documentos.,0.038,21.434,1762,11,1.0,0.0,0.0,0.0,0.20352432657099756
llama3,llama3,Menores de 18 anos precisam de alguma autorização para filmagem do processo?,"Sim. No ato de matrícula, candidatos menores de 18 anos devem apresentar a Autorização de Uso de Imagem (Anexo VIII/IX) devidamente assinada por seus pais ou responsáveis legais.","Sim, menores de 18 anos precisam de autorização da/do mãe, pai ou responsável para a filmagem do processo. Isso está estabelecido no documento de identidade da pessoa que assinou a autorização (mãe, pai ou responsável da/do menor) no período de 24 de setembro de 2025 a 12 de outubro de 2025.",0.038,23.711,1711,86,0.5,0.980152088607255,0.9999999999,1.0,0.7268027985917592
llama3,llama3,O que ocorre se eu for convocado e não comparecer à banca de heteroidentificação?,"O candidato ausente ou que não tiver sua autodeclaração validada pela banca perde a vaga da cota e é reclassificado para as vagas de Acesso Universal (Cota 1), caso possua classificação suficiente.",Não encontrei essa informação nos documentos.,0.042,19.715,1628,11,0.0,0.0,0.9999999999,1.0,0.20116195449075747
llama3,llama3,Onde são publicadas as listas de classificados e chamadas para matrícula?,"Todas as listas, editais de resultados e convocações são divulgadas na internet, no site oficial de ingressos: ingresso.ifrs.edu.br.","A resposta está nos documentos! De acordo com os itens 13.3 e 16.1, a publicação do quantitativo de vagas a serem preenchidas por curso, bem como a listagem de candidatas/candidatos aptos/as para participar da Chamada Pública, será feita em cada campus.",0.041,21.821,1609,71,0.75,0.0,0.9999999999,1.0,0.20866739067113138
llama3,llama3,"O que é e quem participa da ""Chamada Pública""?","A ""Chamada Pública"" é um chamamento eletrônico ou presencial realizado para preencher vagas que restaram sem matrícula após as etapas regulares, convocando candidatos suplentes por ordem de classificação.","A Chamada Pública é a última chamada para matrícula. Ela ocorre após a primeira chamada para o preenchimento das vagas que ainda não foram ocupadas. Para os cursos que houver a Chamada Pública, participarão todas/todos as/os candidatas/candidatos que ainda não foram chamadas/chamados na primeira cha",0.039,23.934,1594,127,0.875,0.9232205223453571,0.9999999999,1.0,0.5744674057680677
llama3,llama3,Ter o nome listado na Chamada Pública garante a vaga no curso?,Não. Estar na lista de convocados e enviar os documentos na Chamada Pública apenas gera expectativa de direito. O preenchimento ocorre estritamente pela ordem de classificação dos candidatos habilitados até o limite de vagas disponíveis.,Não encontrei essa informação nos documentos.,0.042,12.549,1621,11,1.0,0.0,0.9999999999,1.0,0.1963047481198077
llama3,llama3,Posso manter vínculos ativos de matrícula em mais de um curso de graduação?,Não. É expressamente proibido por lei federal que um estudante ocupe concomitantemente duas vagas de cursos de graduação em quaisquer instituições públicas de ensino superior do país.,Não encontrei essa informação nos documentos.,0.032,19.324,1551,11,0.0,0.0,0.9999999999,1.0,0.19545781422672592
llama3,llama3,"O que acontece se eu for matriculado, mas faltar aos primeiros dias letivos?",O estudante regularmente matriculado que faltar aos primeiros dias letivos (conforme limite estipulado em edital) sem justificativa formal de ausência aceita pelo campus terá sua matrícula cancelada por abandono.,"Segundo o Edital, se você for matriculado e não comparecer, injustificadamente, aos 6 (seis) primeiros dias de efetivo trabalho acadêmico, do primeiro período letivo do curso, sua matrícula será cancelada, exceto para os ingressantes por transferência ou ingresso de diplomado.",0.037,22.497,1647,74,1.0,0.9304679680715967,0.9999999999,1.0,0.4449273004090494
llama3,llama3,É obrigatório possuir conta no portal gov.br para se inscrever?,"Sim, o acesso ao sistema de inscrições exige uma conta ativa no portal gov.br.","Sim, é obrigatório possuir conta no portal gov.br para se inscrever. A/o candidata/candidato, ao acessar o sistema de inscrição do IFRS, será direcionado ao portal gov.br para autenticar-se com seu CPF e senha. Caso ainda não tenha cadastro no portal, ao digitar o CPF na página de login, a/o candida",0.04,22.816,1578,99,0.75,0.9555338197067267,0.9999999999,1.0,0.968154362585139
llama3,llama3,Qual nível de conta gov.br é exigido para a inscrição?,"Geralmente são aceitas contas níveis bronze, prata ou ouro para o acesso básico.",Não encontrei essa informação nos documentos.,0.037,17.267,1697,11,1.0,0.0,0.0,0.0,0.2025141774619695
llama3,llama3,Posso usar o CPF dos meus pais para fazer a minha inscrição?,"Não, a inscrição deve ser feita obrigatoriamente com o CPF do próprio candidato.",Não encontrei essa informação nos documentos.,0.037,19.895,1640,11,1.0,0.0,0.9999999999,1.0,0.20740344474170866
llama3,llama3,O que fazer se eu esquecer a senha da minha conta gov.br?,Você deve recuperar a senha diretamente na plataforma gov.br pelas opções de recuperação.,Não encontrei essa informação nos documentos.,0.037,19.328,1561,11,1.0,0.0,0.0,0.0,0.20800010818655762
llama3,llama3,Candidatos estrangeiros podem participar do processo seletivo?,"Sim, desde que possuam a documentação legal exigida para permanência no Brasil.","Sim, candidatos estrangeiros podem participar do processo seletivo. Para isso, eles devem apresentar o Registro Nacional de Estrangeiro (RNE); ou o Passaporte com visto de estudante; ou Outro documento que por previsão legal permita que o estrangeiro estude no Brasil.",0.04,23.028,1713,69,0.5,0.9338721892996374,0.9999999999,1.0,0.9638278323550395
llama3,llama3,Qual documento de identidade é aceito para candidatos estrangeiros?,O Registro Nacional de Estrangeiro (RNE) ou a Carteira de Registro Nacional Migratório (CRNM).,O documento equivalente para candidatos estrangeiros é o Registro Nacional de Estrangeiro (RNE); ou o Passaporte com visto de estudante; ou Outro documento que por previsão legal permita que o estrangeiro estude no Brasil.,0.036,24.05,1823,56,1.0,0.9034904009317849,0.9999999999,0.0,0.47373518815169813
llama3,llama3,É permitido o uso de nome social durante o processo seletivo?,"Sim, candidatos travestis e transexuais podem solicitar o uso de nome social.","Sim. De acordo com o Anexo VIII, é permitido o uso do Nome Social em sua inscrição no Processo Seletivo 2026/1 do IFRS, desde que você preencha e assine o formulário juntamente com a mãe, pai ou responsável pela/pelo menor, e encaminhe para o e-mail nome.social@ifrs.edu.br, no período de 04 de novem",0.036,22.153,1501,106,1.0,0.9273677748677978,0.9999999999,1.0,0.5178343629303023
llama3,llama3,Como solicito a inclusão do meu nome social no cadastro?,A solicitação deve ser feita durante o preenchimento do formulário de inscrição.,"Vou responder com base no contexto fornecido.  Para solicitar a inclusão do seu nome social no cadastro, você precisa acessar o formulário ANEXO XV SOLICITAÇÃO DE USO DE NOME SOCIAL PARA MENOR DE IDADE (https://cta.ifrs.edu.br/ps-formularios/formulario-nome-social-16/) e preencher o formulário com o",0.037,15.512,1613,88,1.0,0.9954003742398007,0.0,1.0,0.20426722290362315
llama3,llama3,O IFRS envia e-mails de confirmação após a conclusão da inscrição?,"Sim, o sistema envia confirmações automáticas para o e-mail cadastrado.",Não encontrei essa informação nos documentos.,0.038,19.448,1608,11,1.0,0.0,0.0,0.0,0.1987650931772184
llama3,llama3,O que devo fazer se não receber o e-mail de confirmação?,Verifique a caixa de spam ou acesse o sistema para confirmar o status da inscrição.,Não encontrei essa informação nos documentos.,0.042,19.331,1566,11,0.0,0.0,0.9999999999,0.0,0.2011401200556522
llama3,llama3,Qual é a validade exigida para o documento de identidade (RG)?,O RG deve estar legível e permitir a identificação clara e atualizada do candidato.,Não encontrei essa informação nos documentos.,0.038,21.809,1774,11,1.0,0.0,0.0,1.0,0.20559802300318666
llama3,llama3,CNH (Carteira Nacional de Habilitação) é aceita como identificação?,"Sim, a CNH dentro da validade é um documento de identificação oficial aceito.","Sim, a Carteira Nacional de Habilitação (CNH) é aceita como documento de identificação com foto, de acordo com o item 9.10 e 8.10 do contexto fornecido.",0.037,14.789,1699,47,1.0,0.9740417284982805,0.9999999999,1.0,0.7915606324569336
llama3,llama3,Posso usar a certidão de nascimento no lugar do RG para a matrícula?,"Não, a certidão de nascimento não substitui o documento de identidade com foto.",Não encontrei essa informação nos documentos.,0.036,20.207,1667,11,1.0,0.0,0.9999999999,1.0,0.5877167617345239
llama3,llama3,Documentos digitais oficiais (como e-Título) são válidos no processo?,"Sim, documentos digitais oficiais com QR Code de validação normalmente são aceitos.",Não encontrei essa informação nos documentos.,0.038,20.382,1669,11,0.0,0.0,0.9999999999,0.0,0.2073835447895226
llama3,llama3,Cópias autenticadas em cartório substituem o envio online dos originais?,"Não, o envio deve ser feito digitalizando os documentos originais diretamente no sistema.",Não encontrei essa informação nos documentos.,0.038,21.429,1758,11,1.0,0.0,0.9999999999,0.0,0.20967968116241134
llama3,llama3,Preciso enviar fotos 3x4 no momento da pré-matrícula?,A necessidade de foto 3x4 depende das orientações específicas do edital de matrícula.,Não encontrei essa informação nos documentos.,0.038,20.754,1714,11,1.0,0.0,0.0,1.0,0.20211894418662496
llama3,llama3,Existe limite de idade máximo para ingressar nos cursos subsequentes?,Não há limite máximo de idade para ingressar nos cursos técnicos subsequentes.,"Sim, existe um limite de idade mínimo para ingressar nos cursos subsequentes, que é ter no mínimo 18 (dezoito) anos completos na data da matrícula.",0.038,19.589,1528,40,1.0,0.977569841805566,0.9999999999,1.0,0.22500601431799105
llama3,llama3,Existe idade mínima para os cursos superiores de graduação?,"Não há limite de idade, mas é necessário ter concluído o Ensino Médio.",Não encontrei essa informação nos documentos.,0.037,15.153,1513,11,0.0,0.0,0.0,0.0,0.2121879440972472
llama3,llama3,O que é o período de interposição de recursos?,É o prazo oficial para contestar resultados preliminares ou decisões do processo.,Não encontrei essa informação nos documentos.,0.037,21.409,1761,11,0.0,0.0,0.9999999999,1.0,0.20452313008651252
llama3,llama3,Como devo enviar um recurso contra o resultado preliminar?,Os recursos devem ser submetidos exclusivamente pelo sistema eletrônico de ingresso.,"De acordo com os documentos, se você é um candidato/a que não foi aprovado e deseja enviar um recurso contra o resultado preliminar, você deve realizar o recurso pelo sistema de Pré-Matrícula. O link do sistema será disponibilizado no site ingresso.ifrs.edu.br.",0.036,23.115,1717,66,0.6666666666666666,0.9434274724119843,0.9999999999,1.0,0.2053193095381633
